"Improve","Key","Value","Cell"
10.1001766955883,"Lat",-7.5,2
5.56785954981024,"Lon",57.5,2
4.36381674195763,"Lon",62.5,2
3.03514158179132,"Lon",72.5,2
2.51787309272368,"Lon",67.5,3
2.22513126141212,"Lat",2.5,3
1.99753875090801,"Lon",82.5,2
1.99114868855759,"Lon",47.5,3
1.68812852103656,"Lon",52.5,2
1.65239919113844,"Lon",37.5,1
1.64862462393148,"Lon",52.5,3
1.56708239610816,"Lon",72.5,3
1.3806548305779,"Lon",87.5,2
1.3635950186117,"Lon",77.5,2
1.28092021394878,"Lon",42.5,3
1.12633306975476,"Lat",12.5,3
1.01555719951148,"Lon",67.5,2
0.871353716553131,"Lat",7.5,3
0.860671947234096,"Lat",-12.5,2
0.817446222111357,"Lon",92.5,2
0.635905722031112,"Lon",77.5,3
0.611063337580617,"Lat",17.5,3
0.529790362903441,"Lon",82.5,3
0.389783459910632,"Lon",57.5,3
0.360698843318119,"Lat",-17.5,1
0.322218002135287,"Lon",87.5,3
0.301063088671299,"Lat",-22.5,1
0.267560875287472,"Lon",47.5,2
0.258073709889686,"Lon",62.5,3
0.149602863317114,"Lat",-12.5,1
0.0424093023093519,"Lon",92.5,3
0.0338193719588844,"Lat",-7.5,1
